Model,Best_Params,Accuracy,F1,ROC_AUC
LR,{'C': 1},0.806475821020711,0.5981088005030599,0.8489488225356105
GBM,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.8019302656623009,0.5798063459194415,0.8441447315183778
Adaboost,"{'learning_rate': 1, 'n_estimators': 200}",0.8012203408284405,0.5801872593981681,0.8440789362946427
SVM,"{'C': 1, 'kernel': 'rbf'}",0.7995185173236983,0.5725695780523002,0.8016707007693806
